Level,Model,MAE_MICE,MAE_SICE,NSE_MICE,NSE_SICE,R2_MICE,R2_SICE,RMSE_MICE,RMSE_SICE,Sim_MICE,Sim_SICE,Time_MICE,Time_SICE
HIGH,Ada,1.2804,1.2584,0.7502,0.7653,0.7502,0.7653,1.6434,1.6082,0.9544,0.955,121.4653,23.0993
HIGH,DT,1.2503,1.2366,0.7397,0.7445,0.7397,0.7445,1.6882,1.6858,0.9549,0.9555,31.4341,14.4444
HIGH,GB,0.8752,0.8771,0.8663,0.8654,0.8663,0.8654,1.1975,1.2038,0.9677,0.9677,156.5405,26.8924
HIGH,KNN,0.948,0.9451,0.8465,0.8483,0.8465,0.8483,1.2941,1.2876,0.9652,0.9654,17.8001,13.0698
HIGH,LGBM,0.8677,0.8721,0.8679,0.8664,0.8679,0.8664,1.189,1.2002,0.968,0.9679,20.6661,13.3586
HIGH,LN,0.8997,0.9026,0.8607,0.8598,0.8607,0.8598,1.2246,1.2313,0.9667,0.9667,13.0705,12.5637
HIGH,Lasso,0.9033,0.9066,0.8605,0.8596,0.8605,0.8596,1.2281,1.2352,0.9666,0.9665,13.7989,12.6343
HIGH,RF,0.8874,0.8858,0.8605,0.8605,0.8605,0.8605,1.2244,1.2256,0.9674,0.9675,229.5182,34.6971
HIGH,Ridge,0.8997,0.9026,0.8607,0.8598,0.8607,0.8598,1.2246,1.2313,0.9667,0.9667,12.9028,12.5449
HIGH,SVR,0.8566,0.8616,0.8669,0.8654,0.8669,0.8654,1.1838,1.1952,0.9684,0.9683,910.9184,101.8889
HIGH,XGB,0.8965,0.8966,0.8579,0.8606,0.8579,0.8606,1.2344,1.2339,0.967,0.9672,21.452,13.4345
LOW,Ada,1.4676,1.5191,0.6183,0.5888,0.6183,0.5888,1.8248,1.8855,0.9369,0.9356,58.8068,12.4932
LOW,DT,1.5079,1.5223,0.5067,0.5018,0.5067,0.5018,2.0761,2.095,0.9372,0.9367,16.9599,8.2699
LOW,GB,1.0993,1.0977,0.7491,0.7504,0.7491,0.7504,1.4855,1.4831,0.9529,0.953,79.7673,14.5168
LOW,KNN,1.162,1.1542,0.7217,0.7243,0.7217,0.7243,1.5649,1.5575,0.9501,0.9503,10.5762,7.6143
LOW,LGBM,1.0609,1.0573,0.7634,0.7658,0.7634,0.7658,1.443,1.4358,0.9541,0.9543,11.5403,7.8175
LOW,LN,1.1929,1.1912,0.712,0.7126,0.712,0.7126,1.586,1.5848,0.9498,0.9499,7.512,7.315
LOW,Lasso,1.1932,1.1917,0.7132,0.7138,0.7132,0.7138,1.5827,1.5819,0.9498,0.9498,7.7702,7.3456
LOW,RF,1.0892,1.0874,0.7513,0.7523,0.7513,0.7523,1.4794,1.4772,0.9531,0.9531,118.187,18.2537
LOW,Ridge,1.1929,1.1912,0.712,0.7126,0.712,0.7126,1.586,1.5848,0.9498,0.9499,7.4665,7.3068
LOW,SVR,1.0632,1.0637,0.7548,0.7552,0.7548,0.7552,1.4732,1.4722,0.9543,0.9542,610.5217,67.3516
LOW,XGB,1.0909,1.0758,0.7498,0.7546,0.7498,0.7546,1.4864,1.4703,0.9531,0.9535,12.1993,7.7833
MED,Ada,1.07,1.071,0.8619,0.8634,0.8619,0.8634,1.3763,1.376,0.9651,0.9651,565.475,90.6444
MED,DT,1.0806,1.0862,0.827,0.8245,0.827,0.8245,1.4736,1.49,0.9648,0.9646,134.168,47.8503
MED,GB,0.7862,0.7898,0.9099,0.9098,0.9099,0.9098,1.0638,1.0693,0.9739,0.9738,777.5302,111.7838
MED,KNN,0.903,0.9,0.8873,0.8886,0.8873,0.8886,1.2051,1.2003,0.9702,0.9703,43.9382,38.6649
MED,LGBM,0.7592,0.763,0.9143,0.9144,0.9143,0.9144,1.032,1.0362,0.9747,0.9746,67.8499,41.2222
MED,LN,0.7933,0.7953,0.9054,0.9055,0.9054,0.9055,1.0749,1.0763,0.9735,0.9735,40.9423,38.3477
MED,Lasso,0.8004,0.803,0.9049,0.905,0.9049,0.905,1.0822,1.0842,0.9733,0.9732,46.2392,38.8968
MED,RF,0.76,0.764,0.9131,0.9136,0.9131,0.9136,1.0371,1.0382,0.9746,0.9745,1117.1608,147.2708
MED,Ridge,0.7933,0.7953,0.9054,0.9055,0.9054,0.9055,1.0749,1.0763,0.9735,0.9735,39.2479,38.1877
MED,SVR,0.7576,0.7606,0.9109,0.9107,0.9109,0.9107,1.0377,1.0414,0.9747,0.9746,2309.0151,262.8689
MED,XGB,0.7739,0.7801,0.9103,0.9106,0.9103,0.9106,1.0566,1.0593,0.9742,0.9741,72.3834,41.4721
