Level,Model,MAE_MICE,MAE_SICE,NSE_MICE,NSE_SICE,R2_MICE,R2_SICE,RMSE_MICE,RMSE_SICE,Sim_MICE,Sim_SICE,Time_MICE,Time_SICE
LOW,Ada,1.409,1.432,0.626,0.615,0.626,0.615,1.763,1.784,0.938,0.937,73.314,15.077
LOW,DT,1.435,1.407,0.538,0.55,0.538,0.55,1.962,1.922,0.939,0.94,20.432,9.807
LOW,GB,1.042,1.041,0.764,0.764,0.764,0.764,1.402,1.401,0.954,0.955,95.837,17.338
LOW,KNN,1.078,1.076,0.741,0.742,0.741,0.742,1.464,1.463,0.953,0.953,11.877,8.936
LOW,LGBM,1.003,1.003,0.776,0.777,0.776,0.777,1.364,1.362,0.956,0.956,14.52,9.251
LOW,LN,1.142,1.141,0.731,0.731,0.731,0.731,1.502,1.501,0.951,0.951,8.805,8.651
LOW,Lasso,1.144,1.143,0.731,0.731,0.731,0.731,1.504,1.503,0.951,0.951,8.97,8.678
LOW,RF,1.017,1.018,0.767,0.768,0.767,0.768,1.39,1.387,0.955,0.955,142.206,21.981
LOW,Ridge,1.142,1.141,0.731,0.731,0.731,0.731,1.502,1.501,0.951,0.951,8.759,8.637
LOW,SVR,0.996,0.996,0.772,0.772,0.772,0.772,1.377,1.377,0.956,0.956,692.818,76.989
LOW,XGB,1.019,1.017,0.766,0.767,0.766,0.767,1.392,1.39,0.955,0.955,14.92,9.264
MED,Ada,1.067,1.071,0.876,0.876,0.876,0.876,1.376,1.376,0.966,0.966,536.801,88.193
MED,DT,1.076,1.09,0.84,0.841,0.84,0.841,1.467,1.488,0.966,0.966,130.551,47.762
MED,GB,0.792,0.794,0.916,0.916,0.916,0.916,1.073,1.074,0.974,0.974,722.888,106.816
MED,KNN,0.9,0.897,0.895,0.895,0.895,0.895,1.208,1.205,0.971,0.971,42.292,38.863
MED,LGBM,0.764,0.765,0.921,0.921,0.921,0.921,1.039,1.04,0.975,0.975,66.092,41.275
MED,LN,0.809,0.809,0.908,0.909,0.908,0.909,1.097,1.097,0.974,0.974,41.01,38.737
MED,Lasso,0.815,0.815,0.908,0.908,0.908,0.908,1.102,1.101,0.974,0.974,45.216,39.239
MED,RF,0.757,0.758,0.921,0.921,0.921,0.921,1.036,1.036,0.976,0.976,1053.176,140.122
MED,Ridge,0.809,0.809,0.908,0.909,0.908,0.909,1.097,1.097,0.974,0.974,39.464,38.554
MED,SVR,0.766,0.766,0.918,0.918,0.918,0.918,1.05,1.051,0.975,0.975,2233.173,258.617
MED,XGB,0.775,0.777,0.918,0.918,0.918,0.918,1.055,1.056,0.975,0.975,70.84,41.734
HIGH,Ada,1.393,1.384,0.733,0.733,0.733,0.733,1.776,1.769,0.952,0.952,121.737,22.833
HIGH,DT,1.269,1.288,0.745,0.749,0.745,0.749,1.753,1.743,0.955,0.954,31.167,13.871
HIGH,GB,0.917,0.917,0.876,0.876,0.876,0.876,1.241,1.244,0.967,0.967,154.612,26.227
HIGH,KNN,0.976,0.977,0.859,0.859,0.859,0.859,1.315,1.318,0.965,0.965,16.663,12.396
HIGH,LGBM,0.904,0.904,0.878,0.877,0.878,0.877,1.225,1.23,0.967,0.967,20.067,12.761
HIGH,LN,0.943,0.947,0.869,0.868,0.869,0.868,1.276,1.282,0.966,0.966,12.452,11.975
HIGH,Lasso,0.95,0.954,0.867,0.866,0.867,0.866,1.285,1.291,0.965,0.965,12.98,12.036
HIGH,RF,0.914,0.914,0.873,0.873,0.873,0.873,1.25,1.253,0.967,0.967,228.427,33.87
HIGH,Ridge,0.943,0.947,0.869,0.868,0.869,0.868,1.276,1.282,0.966,0.966,12.24,11.949
HIGH,SVR,0.894,0.899,0.878,0.876,0.878,0.876,1.218,1.227,0.967,0.967,920.463,102.897
HIGH,XGB,0.92,0.924,0.871,0.872,0.871,0.872,1.25,1.255,0.966,0.966,20.689,12.787
