Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
LOW,LINEAR,Ada,0.6491533756420906,0.6491533756419915,0.9394501307833524,1.4945350017743273,1.1740457392984214,0.06693233927177528
LOW,LINEAR,DT,0.5274939587128031,0.5274939587126681,0.9369876421947938,1.7250815295768205,1.2435863209622247,0.07124061932965395
LOW,LINEAR,GB,0.7690216684543754,0.7690216684543097,0.955684383612816,1.2078126791835557,0.8475748127993069,0.04849315952229014
LOW,LINEAR,KNN,0.7284905405685329,0.7284905405684556,0.951472495622808,1.3075392084057333,0.9330803317683083,0.05342095429823434
LOW,LINEAR,LGBM,0.7643044021337262,0.7643044021336591,0.9554756628164734,1.2194895297043364,0.8520594862967956,0.048783998695780505
LOW,LINEAR,LN,0.7587300282498181,0.7587300282497497,0.9545314187208995,1.2370592239665905,0.8714897504874637,0.04982423634256482
LOW,LINEAR,Lasso,0.7587107271525244,0.758710727152456,0.9543777288958697,1.2371069526080225,0.8742981110300336,0.04998271330429598
LOW,LINEAR,RF,0.7254266389694856,0.7254266389694073,0.9507271688189938,1.3165268109427084,0.9477771588843531,0.05424179635610497
LOW,LINEAR,Ridge,0.7587300807202172,0.7587300807201488,0.9545313704895276,1.2370590594446051,0.8714905994279043,0.04982428567595857
LOW,LINEAR,SVR,0.7658961335759287,0.765896133575862,0.9561739204719215,1.2148899859586484,0.8393047880923659,0.04802558326415994
LOW,LINEAR,XGB,0.7547222325497333,0.7547222325496634,0.9548128210339581,1.244665541667749,0.8665590005261558,0.04960382154977893
LOW,MEAN,Ada,0.6475018164035651,0.6475018164034649,0.93954804641593,1.4954202278273612,1.1703103899792637,0.06686076755997225
LOW,MEAN,DT,0.5191543278421639,0.5191543278420266,0.9369159972821901,1.7406954916928092,1.2468340983844939,0.07140164250917082
LOW,MEAN,GB,0.7673274895510522,0.7673274895509861,0.9554260382573553,1.210902671918712,0.8522898295071544,0.04878113978310242
LOW,MEAN,KNN,0.7290376345914871,0.7290376345914098,0.9512608760932609,1.3038176046826857,0.9365535759925843,0.05361991403033918
