Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,MICE_LGBM,Ada,0.636697957,0.636697957,0.940111051,1.494305284,1.162833993
LOW,MICE_LGBM,DT,0.525717438,0.525717438,0.937798457,1.683930078,1.224457278
LOW,MICE_LGBM,GB,0.761604659,0.761604659,0.955572493,1.196409924,0.849370299
LOW,MICE_LGBM,KNN,0.719903784,0.719903784,0.951761213,1.29575077,0.927080526
LOW,MICE_LGBM,LGBM,0.761427072,0.761427072,0.955686173,1.197060159,0.847008364
LOW,MICE_LGBM,LN,0.752016218,0.752016218,0.954725422,1.219742408,0.867413553
LOW,MICE_LGBM,Lasso,0.751554413,0.751554413,0.954557739,1.220883777,0.870596658
LOW,MICE_LGBM,Ridge,0.752016088,0.752016088,0.954725346,1.219742677,0.867414985
LOW,MICE_LGBM,RF,0.712441365,0.712441365,0.951170282,1.311726177,0.939988573
LOW,MICE_LGBM,SVR,0.762327391,0.762327391,0.956593686,1.193281966,0.830880079
LOW,MICE_LGBM,XGB,0.747768848,0.747768848,0.954987729,1.230785793,0.862929116
LOW,MICE_LINEAR,Ada,0.63091257,0.63091257,0.939644821,1.505184346,1.172111348
MEDIUM,MICE_LGBM,Ada,0.759144567,0.759144567,0.953243612,1.464142606,1.144280153
MEDIUM,MICE_LGBM,DT,0.684519101,0.684519101,0.951504459,1.649630255,1.194822305
MEDIUM,MICE_LGBM,GB,0.834209337,0.834209337,0.963831861,1.179375397,0.865811114
MEDIUM,MICE_LGBM,KNN,0.810898788,0.810898788,0.960927316,1.272921605,0.947369185
MEDIUM,MICE_LGBM,LGBM,0.841730516,0.841730516,0.964925429,1.147306112,0.838312449
MEDIUM,MICE_LGBM,LN,0.824367471,0.824367471,0.962460608,1.212539442,0.899316746
MEDIUM,MICE_LGBM,Lasso,0.823197803,0.823197803,0.962245196,1.216574986,0.904323674
MEDIUM,MICE_LGBM,Ridge,0.824367736,0.824367736,0.962460591,1.212538967,0.899317219
MEDIUM,MICE_LGBM,RF,0.840598781,0.840598781,0.964873506,1.157803441,0.842427991
MEDIUM,MICE_LGBM,SVR,0.839297592,0.839297592,0.965255765,1.151702583,0.831338298
MEDIUM,MICE_LGBM,XGB,0.83470658,0.83470658,0.964231576,1.176084096,0.857886048
HIGH,MICE_LGBM,DT,0.883554423,0.883554423,0.967452395,1.467326618,1.066523479
HIGH,MICE_LGBM,GB,0.93793262,0.93793262,0.975531147,1.068296867,0.786505105
HIGH,MICE_LGBM,KNN,0.926537925,0.926537925,0.973139995,1.167957532,0.866903778
HIGH,MICE_LGBM,LGBM,0.941917321,0.941917321,0.976399404,1.031272927,0.756545728
HIGH,MICE_LGBM,LN,0.936124057,0.936124057,0.975458057,1.072694892,0.786517228
HIGH,MICE_LGBM,Lasso,0.933885908,0.933885908,0.975009689,1.090537716,0.800929685
HIGH,MICE_LGBM,Ridge,0.936124107,0.936124107,0.975458045,1.072694529,0.786517524
HIGH,MICE_LGBM,RF,0.94133657,0.94133657,0.976506503,1.033210477,0.752651262
HIGH,MICE_LGBM,SVR,0.942440603,0.942440603,0.976692512,1.027604061,0.747763193
HIGH,MICE_LGBM,XGB,0.939834548,0.939834548,0.976035225,1.050304197,0.769542046
