Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,SEED_LGBM,Ada,0.632480214,0.632480214,0.938689256,1.466434509,1.185687497
LOW,SEED_LGBM,DT,0.401957731,0.401957731,0.93487864,1.808216132,1.296328161
LOW,SEED_LGBM,GB,0.764077732,0.764077732,0.955426702,1.151168973,0.848000692
LOW,SEED_LGBM,KNN,0.701580833,0.701580833,0.950260977,1.292762165,0.954000118
LOW,SEED_LGBM,LGBM,0.758481861,0.758481861,0.955189524,1.171302228,0.853952696
LOW,SEED_LGBM,LN,0.75272452,0.75272452,0.954906812,1.174838408,0.860522476
LOW,SEED_LGBM,Lasso,0.752350342,0.752350342,0.954566674,1.176383301,0.866866962
LOW,SEED_LGBM,RF,0.694503678,0.694503678,0.950028039,1.305465836,0.960672507
LOW,SEED_LGBM,Ridge,0.752724496,0.752724496,0.954906748,1.174838411,0.86052371
LOW,SEED_LGBM,SVR,0.768222085,0.768222085,0.957092861,1.141946113,0.817438719
LOW,SEED_LGBM,XGB,0.738720656,0.738720656,0.953771088,1.203226218,0.883112245
MED,SEED_LGBM,Ada,0.774433748,0.774433748,0.955156631,1.379140989,1.090915396
MED,SEED_LGBM,DT,0.704468802,0.704468802,0.954344902,1.534393721,1.111785728
MED,SEED_LGBM,GB,0.848928322,0.848928322,0.964747548,1.098609314,0.834811926
MED,SEED_LGBM,KNN,0.837096818,0.837096818,0.962603817,1.175319829,0.903482145
MED,SEED_LGBM,LGBM,0.856884665,0.856884665,0.965739543,1.067134328,0.810054258
MED,SEED_LGBM,LN,0.837977673,0.837977673,0.962938418,1.125398584,0.873225722
MED,SEED_LGBM,Lasso,0.836564849,0.836564849,0.963019741,1.128907864,0.871555598
MED,SEED_LGBM,RF,0.859037633,0.859037633,0.966381408,1.054085423,0.795601782
MED,SEED_LGBM,Ridge,0.837977754,0.837977754,0.962938401,1.125399004,0.873226419
MED,SEED_LGBM,SVR,0.85926062,0.85926062,0.967026671,1.046585639,0.777997119
MED,SEED_LGBM,XGB,0.855312043,0.855312043,0.965942934,1.072988327,0.806157588
HIGH,SEED_LGBM,Ada,0.879480565,0.879480565,0.964223137,1.494532965,1.17230609
HIGH,SEED_LGBM,DT,0.891172002,0.891172002,0.967335069,1.449638653,1.068300028
HIGH,SEED_LGBM,GB,0.939013508,0.939013508,0.974793746,1.09148953,0.810642446
HIGH,SEED_LGBM,KNN,0.932380058,0.932380058,0.973467287,1.147064651,0.855010049
HIGH,SEED_LGBM,LGBM,0.94547428,0.94547428,0.976038474,1.031413997,0.767324809
HIGH,SEED_LGBM,LN,0.937440191,0.937440191,0.975152296,1.0881384,0.79809619
HIGH,SEED_LGBM,Lasso,0.934366717,0.934366717,0.974563582,1.112652735,0.816796246
HIGH,SEED_LGBM,RF,0.946142504,0.946142504,0.976448655,1.014763982,0.752836003
HIGH,SEED_LGBM,Ridge,0.937440263,0.937440263,0.975152273,1.088138442,0.798096902
HIGH,SEED_LGBM,SVR,0.943743114,0.943743114,0.976184615,1.042062077,0.765078372
HIGH,SEED_LGBM,XGB,0.944122912,0.944122912,0.975848426,1.045642956,0.774655061
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
