Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,SEED_LGBM,Ada,0.64801389925,0.64801389925,0.9411889242499999,1.47091128175,1.139468656
LOW,SEED_LGBM,DT,0.5040278835,0.5040278835,0.93770893425,1.7189073562500001,1.2316806055
LOW,SEED_LGBM,GB,0.7609617507499999,0.7609617507499999,0.9555055539999999,1.1976387655,0.8506907792499999
LOW,SEED_LGBM,KNN,0.72225208725,0.72225208725,0.95202550825,1.29011286425,0.92185896425
LOW,SEED_LGBM,LGBM,0.7608645715,0.7608645715,0.955641323,1.19911689625,0.8480353037499999
LOW,SEED_LGBM,LN,0.75230640975,0.75230640975,0.95472717,1.21913345525,0.8673316297500001
LOW,SEED_LGBM,Lasso,0.75180571575,0.75180571575,0.9545600992500001,1.22037680975,0.87051700575
LOW,SEED_LGBM,RF,0.71284852925,0.71284852925,0.95121122775,1.310730743,0.93920950875
LOW,SEED_LGBM,Ridge,0.75230626425,0.75230626425,0.9547270945,1.2191337645,0.8673330495000001
LOW,SEED_LGBM,SVR,0.7625844955000001,0.7625844955000001,0.95658903225,1.1927573285,0.83092101675
LOW,SEED_LGBM,XGB,0.75123731175,0.75123731175,0.954842494,1.2214765345,0.8646967285000001
MED,SEED_LGBM,Ada,0.75805785775,0.75805785775,0.95311215275,1.46457689925,1.14789514875
MED,SEED_LGBM,DT,0.68338882725,0.68338882725,0.9515677492500001,1.63661255225,1.1927234465
MED,SEED_LGBM,GB,0.834274921,0.834274921,0.9638638442499999,1.18172753825,0.86601999025
MED,SEED_LGBM,KNN,0.8118451532500001,0.8118451532500001,0.961020091,1.269111026,0.94462032925
MED,SEED_LGBM,LGBM,0.84175647725,0.84175647725,0.9649017670000001,1.1503808675,0.839541259
MED,SEED_LGBM,LN,0.8247729337499999,0.8247729337499999,0.9625139872499999,1.2122827635000002,0.89840377
MED,SEED_LGBM,Lasso,0.8234697752500001,0.8234697752500001,0.9622969865,1.216723692,0.9033159835
MED,SEED_LGBM,RF,0.84034865525,0.84034865525,0.96482345475,1.15922366275,0.84389890375
MED,SEED_LGBM,Ridge,0.8247731692500001,0.8247731692500001,0.9625139687500001,1.21228233725,0.8984042529999999
MED,SEED_LGBM,SVR,0.8395248162500001,0.8395248162500001,0.965292665,1.15116021575,0.8306715175000001
MED,SEED_LGBM,XGB,0.8359838222499999,0.8359838222499999,0.9644078804999999,1.17276516,0.8530467310000001
HIGH,SEED_LGBM,Ada,0.86967143275,0.86967143275,0.965157999,1.45973651075,1.140252909
HIGH,SEED_LGBM,DT,0.88216985,0.88216985,0.9673409935,1.4614740292500001,1.06728358975
HIGH,SEED_LGBM,GB,0.93787042825,0.93787042825,0.9755461185000001,1.06890466225,0.7861022342499999
HIGH,SEED_LGBM,KNN,0.9267773312500001,0.9267773312500001,0.9731867322500001,1.1654053055,0.8653228470000001
HIGH,SEED_LGBM,LGBM,0.94187649825,0.94187649825,0.9763881097499999,1.03195423125,0.7571340354999999
HIGH,SEED_LGBM,LN,0.9362003459999999,0.9362003459999999,0.9754663214999999,1.072320649,0.78632221825
HIGH,SEED_LGBM,Lasso,0.933961695,0.933961695,0.97501659175,1.09018707725,0.800774982
HIGH,SEED_LGBM,RF,0.941591431,0.941591431,0.9765220575,1.03057281075,0.7517559467500001
HIGH,SEED_LGBM,Ridge,0.9362003912500001,0.9362003912500001,0.9754663084999999,1.07232031675,0.7863225522499999
HIGH,SEED_LGBM,SVR,0.942399439,0.942399439,0.97668342725,1.02803146175,0.74812531525
HIGH,SEED_LGBM,XGB,0.9397523672500001,0.9397523672500001,0.9760290825000001,1.05123009475,0.7694761875
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
