Level,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,Ada,0.6520914102937915,0.6520914102936923,0.9406684500379098,1.4826763200282476,1.1476050255753472
LOW,DT,0.551888635972987,0.5518886359728594,0.9376348922662762,1.6788640431406496,1.2267202439336549
LOW,GB,0.7676093219864547,0.7676093219863884,0.9558214092460233,1.2094817062766312,0.8451271069482649
LOW,KNN,0.733133075722511,0.7331330757224348,0.9518153205686514,1.2941786530714614,0.9254285373006549
LOW,LGBM,0.7658511928508682,0.7658511928508014,0.9558853374299896,1.2128737973262962,0.844064590942653
LOW,LN,0.7620344826738243,0.7620344826737567,0.9553008950195374,1.225368421853679,0.8561034664955378
LOW,Lasso,0.7621990567651578,0.7621990567650901,0.9551338094968049,1.2250662465543356,0.8591281219941596
LOW,RF,0.7266500503111826,0.7266500503111046,0.9512702754276168,1.309203245402769,0.9371836395470581
LOW,Ridge,0.7620345138922369,0.7620345138921691,0.9553008177985335,1.2253683070179457,0.8561048548123144
LOW,SVR,0.7642694500566045,0.7642694500565372,0.956351265920196,1.2169279566992892,0.8362589918740712
LOW,XGB,0.7559867727784995,0.7559867727784297,0.9549799746246985,1.239078253734827,0.8628976985386441
MEDIUM,Ada,0.7540001515734759,0.7540001515733924,0.9517333665707334,1.5034626648024865,1.1829834725794275
MEDIUM,DT,0.6549312269536379,0.6549312269535162,0.9489973750303458,1.7266306300948158,1.2597576707601548
MEDIUM,GB,0.8296273628934339,0.8296273628933725,0.9628063090098173,1.2080323300383802,0.8920709438603377
MEDIUM,KNN,0.796820825288194,0.79682082528812,0.9593594004854261,1.3187904606864256,0.9822474485392475
MEDIUM,LGBM,0.8352241602403134,0.8352241602402533,0.9635814722678878,1.182626761998708,0.8721933459089373
MEDIUM,LN,0.8205212290855826,0.8205212290855185,0.9616042344189681,1.2419968085671937,0.922875360392684
MEDIUM,Lasso,0.8182400283056938,0.8182400283056284,0.9611980343313438,1.2497975463440696,0.9319446917751423
MEDIUM,RF,0.8327784791921619,0.8327784791921011,0.9632950354518217,1.196613579744363,0.8816142814694619
MEDIUM,Ridge,0.8205215693545036,0.8205215693544389,0.9616042187401626,1.2419960780269308,0.9228757390164656
MEDIUM,SVR,0.8318150285666569,0.8318150285665953,0.9637193245387035,1.1894697160588827,0.8695437628823403
MEDIUM,XGB,0.8271117572201704,0.8271117572201072,0.9628025940594037,1.2108255100605836,0.8927771620726099
HIGH,Ada,0.8860136765816083,0.8860136765815948,0.9668245837999492,1.3996362381553455,1.081490278519987
HIGH,DT,0.8786522805577457,0.8786522805577315,0.9672304912469981,1.4767072371932393,1.0725643156255993
HIGH,GB,0.9383464022825778,0.9383464022825707,0.9760838851905396,1.0513684050334031,0.7685548892465977
HIGH,KNN,0.9235812169523757,0.9235812169523667,0.9730609525324789,1.1773262708097791,0.8703871350901469
HIGH,LGBM,0.9411707989875181,0.9411707989875111,0.9767788273464696,1.0248915237087113,0.7447193088245436
HIGH,LN,0.936761923166534,0.9367619231665266,0.9758800195295818,1.056800059971392,0.7713121790945854
HIGH,Lasso,0.9353908327662199,0.9353908327662123,0.9755299355510633,1.0686878267667466,0.7829118587486279
HIGH,RF,0.9397133784437635,0.9397133784437561,0.9766921248543068,1.0352288394868712,0.7473208582768269
HIGH,Ridge,0.9367619916822016,0.9367619916821943,0.9758800093350234,1.0567993750686486,0.7713124656466991
HIGH,SVR,0.9421429783083576,0.9421429783083507,0.977104388460998,1.017282581328141,0.7337751532588933
HIGH,XGB,0.938038008141378,0.9380380081413707,0.9762348917677002,1.0514884845581698,0.763653179202761
