Model,Level,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
Ada,LOW,0.6359,0.6359,0.9402,1.4939,1.1615,0.0662
Ada,MED,0.7587,0.7587,0.9531,1.4668,1.1485,0.0508
Ada,HIGH,0.8672,0.8672,0.9649,1.4707,1.1496,0.0375
DT,LOW,0.5088,0.5088,0.9377,1.7152,1.2309,0.0705
DT,MED,0.6795,0.6795,0.9512,1.6512,1.2034,0.0538
DT,HIGH,0.8807,0.8807,0.9673,1.4739,1.0687,0.0349
GB,LOW,0.7616,0.7616,0.9556,1.1961,0.8494,0.0485
GB,MED,0.8349,0.8349,0.9639,1.1781,0.8656,0.0388
GB,HIGH,0.9378,0.9378,0.9755,1.0687,0.7866,0.0257
KNN,LOW,0.7194,0.7194,0.9517,1.2976,0.9288,0.0531
KNN,MED,0.8108,0.8108,0.9609,1.2733,0.9482,0.0421
KNN,HIGH,0.9263,0.9263,0.9731,1.1693,0.8681,0.0283
Lasso,LOW,0.7515,0.7515,0.9546,1.2209,0.8706,0.0497
Lasso,MED,0.8232,0.8232,0.9622,1.2166,0.9044,0.0406
Lasso,HIGH,0.9339,0.9339,0.975,1.0905,0.8009,0.0263
LGBM,LOW,0.7608,0.7608,0.9557,1.1995,0.8477,0.0485
LGBM,MED,0.8422,0.8422,0.965,1.1469,0.837,0.0375
LGBM,HIGH,0.942,0.942,0.9764,1.031,0.7564,0.0247
LN,LOW,0.752,0.752,0.9547,1.2198,0.8674,0.0495
LN,MED,0.8244,0.8244,0.9625,1.2125,0.8994,0.0403
LN,HIGH,0.9361,0.9361,0.9755,1.0727,0.7865,0.0258
RF,LOW,0.713,0.713,0.9512,1.3099,0.9389,0.0537
RF,MED,0.8395,0.8395,0.9647,1.1613,0.8453,0.0378
RF,HIGH,0.9413,0.9413,0.9765,1.0332,0.7526,0.0246
Ridge,LOW,0.752,0.752,0.9547,1.2198,0.8674,0.0495
Ridge,MED,0.8244,0.8244,0.9625,1.2125,0.8994,0.0403
Ridge,HIGH,0.9361,0.9361,0.9755,1.0727,0.7865,0.0258
SVR,LOW,0.7623,0.7623,0.9566,1.1933,0.8309,0.0475
SVR,MED,0.8394,0.8394,0.9653,1.1507,0.8307,0.0373
SVR,HIGH,0.9424,0.9424,0.9767,1.0276,0.7478,0.0244
XGB,LOW,0.7496,0.7496,0.9549,1.2263,0.8634,0.0494
XGB,MED,0.8339,0.8339,0.9642,1.1758,0.8557,0.0384
XGB,HIGH,0.9401,0.9401,0.9761,1.0478,0.7664,0.0251
