Model,Level,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
Ada,LOW,0.6412,0.6412,0.9405,1.4845,1.154,0.0658
Ada,MED,0.7533,0.7533,0.9525,1.4848,1.1687,0.0515
Ada,HIGH,0.8631,0.8631,0.9643,1.4935,1.1689,0.0381
DT,LOW,0.5043,0.5043,0.9378,1.7245,1.2288,0.0703
DT,MED,0.6816,0.6816,0.9514,1.6424,1.1974,0.0535
DT,HIGH,0.879,0.879,0.967,1.4835,1.08,0.0353
GB,LOW,0.7611,0.7611,0.9555,1.1974,0.8511,0.0486
GB,MED,0.8318,0.8318,0.9634,1.1926,0.8775,0.0392
GB,HIGH,0.9364,0.9364,0.9752,1.0818,0.7975,0.026
KNN,LOW,0.7195,0.7195,0.9517,1.297,0.9276,0.0531
KNN,MED,0.8094,0.8094,0.9606,1.2793,0.9564,0.0424
KNN,HIGH,0.9249,0.9249,0.9728,1.1841,0.8809,0.0287
Lasso,LOW,0.7506,0.7506,0.9543,1.2232,0.8755,0.05
Lasso,MED,0.8198,0.8198,0.9617,1.2362,0.9203,0.0411
Lasso,HIGH,0.932,0.932,0.9746,1.1089,0.8157,0.0267
LGBM,LOW,0.7615,0.7615,0.9557,1.1966,0.8467,0.0484
LGBM,MED,0.8402,0.8402,0.9647,1.1551,0.8438,0.0378
LGBM,HIGH,0.9413,0.9413,0.9762,1.0375,0.7626,0.0249
LN,LOW,0.7511,0.7511,0.9545,1.2221,0.8725,0.0498
LN,MED,0.8211,0.8211,0.962,1.2318,0.9156,0.0409
LN,HIGH,0.9339,0.9339,0.975,1.0942,0.8038,0.0263
RF,LOW,0.7142,0.7142,0.9511,1.3078,0.941,0.0538
RF,MED,0.8391,0.8391,0.9646,1.1663,0.8491,0.0379
RF,HIGH,0.941,0.941,0.9764,1.0372,0.7566,0.0248
Ridge,LOW,0.7511,0.7511,0.9545,1.2221,0.8725,0.0498
Ridge,MED,0.8211,0.8211,0.962,1.2318,0.9156,0.0409
Ridge,HIGH,0.9339,0.9339,0.975,1.0942,0.8038,0.0263
SVR,LOW,0.7597,0.7597,0.9563,1.2003,0.8369,0.0478
SVR,MED,0.8358,0.8358,0.9647,1.1697,0.8463,0.0379
SVR,HIGH,0.9402,0.9402,0.9762,1.0511,0.7665,0.025
XGB,LOW,0.7498,0.7498,0.9548,1.2262,0.865,0.0495
XGB,MED,0.8351,0.8351,0.9643,1.1743,0.8554,0.0383
XGB,HIGH,0.9389,0.9389,0.9758,1.057,0.777,0.0254
