Days,Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
1D,LOW,LINEAR,Ada,0.614790285128592,0.614790285127726,0.9377530191418672,1.500802949449385,1.2099218116015853,0.0688311007212157
1D,LOW,LINEAR,DT,0.4111524894367291,0.4111524894353036,0.93616717011127,1.7993505552186249,1.2704687559604646,0.0727407197998527
1D,LOW,LINEAR,GB,0.7667045408049058,0.7667045408043377,0.9557101183752734,1.144036894611421,0.8417954022048617,0.0480744993596146
1D,LOW,LINEAR,KNN,0.7062168324170226,0.7062168324163021,0.9504104319776058,1.2801406230208732,0.9491876101493836,0.0543130757531407
1D,LOW,LINEAR,LGBM,0.7625074999108035,0.7625074999102326,0.9555919830398024,1.160727737076314,0.845213786474428,0.0482880362271272
1D,LOW,LINEAR,LN,0.7535765011931974,0.7535765011925961,0.954976886322549,1.172233950409222,0.8590339303016664,0.0489760265027843
1D,LOW,LINEAR,Lasso,0.7532589806381402,0.7532589806375388,0.954626920565248,1.17365188627468,0.8655434668064118,0.0493375876698059
1D,LOW,LINEAR,RF,0.6952495342150069,0.6952495342142601,0.949830457970002,1.3039684679423342,0.9634636782488653,0.0550475231195046
1D,LOW,LINEAR,Ridge,0.753576425326381,0.7535764253257795,0.9549768222187563,1.1722340677092469,0.8590351939201356,0.0489760928258764
1D,LOW,LINEAR,SVR,0.7686801084118426,0.7686801084112815,0.9571825690165746,1.140560030757668,0.8156094441509818,0.046565830543431
1D,LOW,LINEAR,XGB,0.7316781090380913,0.7316781090374415,0.9540531751158718,1.2261083248881115,0.8808646094799042,0.0502343595880633
1D,LOW,MEAN,Ada,0.6385054864445083,0.6385054864436821,0.9402497771362166,1.4529049383951338,1.156242488899351,0.0658984120206976
1D,LOW,MEAN,DT,0.4384491791649946,0.4384491791636216,0.936812532726424,1.763744088864197,1.252213530441125,0.071662547252925
1D,LOW,MEAN,GB,0.768265659938754,0.7682656599381896,0.955766278032698,1.140129713790161,0.8403550438386937,0.0479939361104716
1D,LOW,MEAN,KNN,0.7037780678867496,0.7037780678860263,0.9507089437274476,1.2878029074554425,0.944375044107437,0.0540681860042628
1D,LOW,MEAN,LGBM,0.7610083236069513,0.7610083236063742,0.9553706431034472,1.1623436610644329,0.8495201830259214,0.0485183706976853
1D,LOW,MEAN,LN,0.7532215836282883,0.7532215836276859,0.9549142231149028,1.1731896486237336,0.8601530849933625,0.0490449447965525
1D,LOW,MEAN,Lasso,0.7528334290434602,0.7528334290428578,0.954564795972514,1.1747917477086969,0.8666798949241639,0.0494072049263608
1D,LOW,MEAN,RF,0.6897741373802825,0.6897741373795218,0.9493233932615516,1.3150247113126154,0.9742810053256296,0.0556316378997486
1D,LOW,MEAN,Ridge,0.7532215159726432,0.7532215159720408,0.9549141500662566,1.1731897208115205,0.8601544976234436,0.0490450197305132
1D,LOW,MEAN,SVR,0.7680369891328067,0.768036989132244,0.9571437033503304,1.1422708273990447,0.8163857189929782,0.0466157578437817
1D,LOW,MEAN,XGB,0.7400499279391685,0.7400499279385355,0.9537289951182866,1.206829156114566,0.8840766835212708,0.0504563634570068
1D,LOW,SPLINE,Ada,0.6021886069544143,0.6021886069535105,0.9381872300730768,1.5200078111960582,1.202950315379676,0.0685386149763783
1D,LOW,SPLINE,DT,0.4426241642506539,0.4426241642492854,0.9384034433133236,1.752837061269802,1.223723917901516,0.0699539129432962
1D,LOW,SPLINE,GB,0.7627429362642393,0.7627429362636635,0.9552991433976664,1.1548527952103504,0.850463281105894,0.0485501924692924
1D,LOW,SPLINE,KNN,0.7059603134501842,0.7059603134494669,0.9505833259431916,1.283767181944413,0.9466875314712524,0.0541594771227399
1D,LOW,SPLINE,LGBM,0.755070876103651,0.755070876103063,0.955025099746812,1.178927955585638,0.8578684336728193,0.0489667309641826
1D,LOW,SPLINE,LN,0.7513821177031681,0.7513821177025628,0.9546923796908152,1.177661666586327,0.8653933703899384,0.0493009485396301
1D,LOW,SPLINE,Lasso,0.7514409591263923,0.7514409591257878,0.9543963375017466,1.1780220547798383,0.8707590019702913,0.0496013845979748
1D,LOW,SPLINE,RF,0.6870058324684993,0.6870058324677343,0.9498130011623174,1.3221779513149403,0.966709929642451,0.055185491273791
1D,LOW,SPLINE,Ridge,0.7513819819993093,0.7513819819987041,0.9546923260161646,1.1776620295666975,0.8653944849967958,0.0493010057103204
1D,LOW,SPLINE,SVR,0.7675534144710996,0.7675534144705365,0.9570893732412088,1.144022318978916,0.8177097574647114,0.0466790212081776
1D,LOW,SPLINE,XGB,0.7304312187377036,0.7304312187370452,0.953257080575045,1.2275069932833629,0.8950825548171997,0.051059637359316
1D,MED,LINEAR,Ada,0.7673176442927294,0.767317644292088,0.9540879937201308,1.3971466731115918,1.1130304857675408,0.0495685735925825
